GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
s0,edu.brown.cs.student.main,Main,106,0,6,0,27,0,6,0,3,0
s0,edu.brown.cs.student.main.server,Server,50,0,0,0,17,0,5,0,5,0
s0,edu.brown.cs.student.main.server,LoadCSVHandler,22,0,0,0,5,0,2,0,2,0
s0,edu.brown.cs.student.main.server,SearchCSVHandler,5,0,0,0,2,0,2,0,2,0
s0,edu.brown.cs.student.main.server,ViewCSVHandler,5,0,0,0,2,0,2,0,2,0
s0,edu.brown.cs.student.main.CSV,CSVSearcher,47,206,13,29,13,51,12,15,1,5
s0,edu.brown.cs.student.main.CSV,CSVParser,12,77,1,5,4,21,1,7,0,5
s0,edu.brown.cs.student.main.DataObject,StringList,0,5,0,0,0,2,0,2,0,2
s0,edu.brown.cs.student.main.DataObject,GiantString,0,5,0,0,0,2,0,2,0,2
s0,edu.brown.cs.student.main.DataObject,FactoryFailureException,10,0,0,0,3,0,1,0,1,0
